Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
radiant-glow-vitamin-c-serum,Radiant Glow Vitamin C Serum,"<p>15% L-ascorbic acid held at pH 3.2, buffered with ferulic acid and vitamin E so it stays stable in the bottle rather than oxidising in a fortnight. Brightens uneven tone and softens the look of post-acne marks.</p><p>Apply four drops to clean dry skin each morning, before moisturiser and sunscreen. Start every other day if you have not used a vitamin C before.</p><p><strong>Key actives:</strong> 15% L-ascorbic acid, 1% vitamin E, 0.5% ferulic acid.</p>",EMBRAE,Serum,"skincare, serum, bestseller, vitamin-c, brightening",TRUE,Size,15 ml,VG-VC-15,60,shopify,40,deny,manual,1290,,TRUE,TRUE,,,,FALSE,Vitamin C Serum with 15% L-Ascorbic Acid,"A stable 15% vitamin C serum for uneven tone and post-acne marks. Made in small batches and dated on the box.",active
radiant-glow-vitamin-c-serum,,,,,,,,30 ml,VG-VC-30,95,shopify,60,deny,manual,2190,2490,TRUE,TRUE,,,,,,,
midnight-retinol-renewal-serum,Midnight Retinol Renewal Serum,"<p>0.3% encapsulated retinol released slowly through the night, cushioned with squalane and bisabolol so the adjustment period is shorter than most. Targets fine lines and rough texture.</p><p>Two drops at night, three nights a week to begin, building to nightly as your skin tolerates it. Always follow with sunscreen the next morning. Not for use during pregnancy.</p><p><strong>Key actives:</strong> 0.3% encapsulated retinol, 2% squalane, 0.5% bisabolol.</p>",EMBRAE,Serum,"skincare, serum, retinol, anti-ageing",TRUE,Size,30 ml,VG-RT-30,95,shopify,45,deny,manual,2450,,TRUE,TRUE,,,,FALSE,Encapsulated Retinol Serum 0.3%,"A gentle 0.3% encapsulated retinol serum for fine lines and texture, cushioned with squalane.",active
sage-aloe-gentle-cleanser,Sage & Aloe Gentle Cleanser,"<p>A low-foam gel cleanser built around cold-pressed aloe and sage extract. No sulphates, no fragrance, and a pH of 5.5, so it lifts sunscreen and grime without leaving skin tight.</p><p>Massage a coin-sized amount over damp skin for thirty seconds, then rinse. Safe to use morning and night, and safe over active retinol use.</p><p><strong>Key ingredients:</strong> cold-pressed aloe barbadensis, 2% sage leaf extract, glycerin.</p>",EMBRAE,Cleanser,"skincare, cleanser, bestseller, sensitive-skin",TRUE,Size,100 ml,VG-CL-100,140,shopify,55,deny,manual,790,,TRUE,TRUE,,,,FALSE,Sage & Aloe Gentle Gel Cleanser,"A sulphate-free pH 5.5 gel cleanser with cold-pressed aloe. Formulated for sensitive and reactive skin.",active
sage-aloe-gentle-cleanser,,,,,,,,200 ml,VG-CL-200,250,shopify,40,deny,manual,1290,,TRUE,TRUE,,,,,,,
clay-charcoal-deep-cleanse,Clay & Charcoal Deep Cleanse,"<p>Kaolin and activated charcoal draw out the week's build-up without stripping. Willow bark provides a mild natural salicylate for congested areas around the nose and chin.</p><p>Use twice a week in place of your usual evening cleanser. Leave on for two minutes if you want it to work as a mask, then rinse warm.</p><p><strong>Key ingredients:</strong> kaolin clay, activated charcoal, 1% willow bark extract.</p>",EMBRAE,Cleanser,"skincare, cleanser, oily-skin, mask",TRUE,Size,150 ml,VG-CC-150,190,shopify,35,deny,manual,990,,TRUE,TRUE,,,,FALSE,Clay & Charcoal Deep Cleanse,"A twice-weekly kaolin and charcoal cleanser with willow bark, for congestion and build-up.",active
olive-leaf-daily-moisturiser,Olive Leaf Daily Moisturiser,"<p>A light gel-cream that disappears under sunscreen and makeup. Olive leaf extract and 5% niacinamide calm redness while a ceramide trio rebuilds the barrier over a few weeks of use.</p><p>Apply morning and night after serum. Roughly a pea for the whole face.</p><p><strong>Key actives:</strong> 5% niacinamide, ceramide NP, olive leaf extract, glycerin.</p>",EMBRAE,Moisturiser,"skincare, moisturiser, bestseller, niacinamide",TRUE,Size,50 ml,VG-MO-50,110,shopify,70,deny,manual,1490,,TRUE,TRUE,,,,FALSE,Olive Leaf Daily Moisturiser with Niacinamide,"A lightweight gel-cream with 5% niacinamide and ceramides, for daily barrier support.",active
overnight-ceramide-recovery-cream,Overnight Ceramide Recovery Cream,"<p>The heavier counterpart to the daily moisturiser. A richer occlusive layer of shea, squalane and a five-ceramide complex that works while you sleep. Use it through winter, after a retinol night, or any time the barrier is complaining.</p><p>Apply as the last step at night. A little goes further than it looks.</p><p><strong>Key ingredients:</strong> five-ceramide complex, shea butter, squalane, cholesterol.</p>",EMBRAE,Moisturiser,"skincare, moisturiser, dry-skin, night",TRUE,Size,50 ml,VG-OC-50,120,shopify,50,deny,manual,1890,,TRUE,TRUE,,,,FALSE,Overnight Ceramide Recovery Cream,"A rich night cream with a five-ceramide complex, shea and squalane, for a compromised barrier.",active
botanic-tint-lip-balm,Botanic Tint Lip Balm,"<p>A sheer wash of colour on a castor and candelilla base, so it wears like a balm rather than sitting on top of the lip. Four shades built from mineral pigment, none of them frosted.</p><p>Wears about four hours. Reapply as often as you like — there is nothing drying in it.</p><p><strong>Key ingredients:</strong> castor seed oil, candelilla wax, shea butter, mineral pigment.</p>",EMBRAE,Lip,"lip, bestseller, tinted, balm",TRUE,Shade,Rosewood,VG-LB-RW,12,shopify,80,deny,manual,690,,TRUE,TRUE,,,,FALSE,Botanic Tint Lip Balm,"A sheer tinted lip balm on a castor and candelilla base, in four unfrosted shades.",active
botanic-tint-lip-balm,,,,,,,,Clay,VG-LB-CL,12,shopify,80,deny,manual,690,,TRUE,TRUE,,,,,,,
botanic-tint-lip-balm,,,,,,,,Plum,VG-LB-PL,12,shopify,65,deny,manual,690,,TRUE,TRUE,,,,,,,
botanic-tint-lip-balm,,,,,,,,Bare,VG-LB-BA,12,shopify,90,deny,manual,690,,TRUE,TRUE,,,,,,,
velvet-matte-lip-oil,Velvet Matte Lip Oil,"<p>An oil that dries down matte, which should not be possible and mostly is not. Jojoba and rosehip carry the pigment; the finish sets in about ninety seconds and does not transfer.</p><p>Apply to bare lips with the doe-foot applicator. Build a second layer for full opacity.</p><p><strong>Key ingredients:</strong> jojoba oil, rosehip seed oil, vitamin E, mineral pigment.</p>",EMBRAE,Lip,"lip, matte, oil",TRUE,Shade,Terracotta,VG-LO-TC,10,shopify,55,deny,manual,890,,TRUE,TRUE,,,,FALSE,Velvet Matte Lip Oil,"A nourishing lip oil with a transfer-resistant matte finish, in three shades.",active
velvet-matte-lip-oil,,,,,,,,Wine,VG-LO-WN,10,shopify,50,deny,manual,890,,TRUE,TRUE,,,,,,,
velvet-matte-lip-oil,,,,,,,,Nude,VG-LO-ND,10,shopify,60,deny,manual,890,,TRUE,TRUE,,,,,,,
